Route,Source,Destination,State From,State To,Distance,Vehicle,Type,Owner,Load Id,Payment,Posted On,Available On,Price,Price Per Mile,Count,Weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK - AR,"Tulsa, OK 74135","Lowell, AR 72745",OK,AR,110,2014 Kia Soul,SUV,BacklotCars Inc,X999890,ACH,54s ago,ASAP, 142 , 1.29 ,1," 2,879 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN - TX,"Spring Hill, TN 37174","Dallas, TX 75237",TN,TX,679,2021 Nissan Murano,SUV,Auto Dealers Transport,8244,,2m ago,5/Jan/23, 500 , 0.74 ,1," 4,137 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA - MN,"Hudson, IA 50643","Fridley, MN 55432",IA,MN,215,2015 Ford Explorer,SUV,BacklotCars Inc,I669036,ACH,2m ago,ASAP, 225 , 1.05 ,1," 4,882 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ - NY,"Cape May Court House, NJ 08210","Webster, NY 14580",NJ,NY,403,2006 Buick Lucerne,Sedan,BacklotCars Inc,L485009,ACH,3m ago,ASAP, 394 , 0.98 ,1," 4,013 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS - FL,"Madison, MS 39110","Fort Walton Beach, FL 32548",MS,FL,301,2012 Chevrolet Silverado 1500,Pickup (4 doors),BacklotCars Inc,J359590,ACH,4m ago,ASAP, 325 , 1.08 ,1," 5,487 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA - GA,"Union City, GA 30291","Atlanta, GA 30331",GA,GA,14,2016 INFINITI QX80,SUV,M&J Automotive LLC,121085-0401 (Dealer to Auction),CKOD,4m ago,5/Jan/23, 60 , 4.29 ,1," 5,878 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA - TX,"Atlanta, GA 30331","Dallas, TX 75237",GA,TX,773,2020 Audi Q3,SUV,Auto Dealers Transport,8246,,4m ago,5/Jan/23, 500 , 0.65 ,1," 3,916 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI - GA,"Livonia, MI 48150","Atlanta, GA 30331",MI,GA,730,2019 Toyota Tacoma,Pickup (4 doors),M&J Automotive LLC,217475-0301 (Dealer to Auction),CKOD,5m ago,5/Jan/23, 550 , 0.75 ,1," 4,480 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS - IN,"Hattiesburg, MS 39402","Richmond, IN 47374",MS,IN,749,2007 Jeep Wrangler,SUV,AUTO FREIGHT CARRIERS LLC,30532537-AF ISAAC: CLIENT,COD,5m ago,5/Jan/23, 600 , 0.80 ,1," 4,315 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK - TX,"Oklahoma City, OK 73114","Haltom City, TX 76117",OK,TX,209,2015 Gmc Yukon,SUV,BacklotCars Inc,O528553,ACH,6m ago,ASAP, 160 , 0.77 ,1," 5,746 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
