0,New York,Los Angeles,Chicago,Miami,Dallas,Houston,Philadelphia,Atlanta,Washington,Boston,Phoenix,Detroit,Seattle,San Francisco,San Diego,Minneapolis,Brooklyn,Tampa,Denver,Queens,Baltimore,Las Vegas,St. Louis,Portland,Riverside,Orlando,Sacramento,San Juan,San Antonio,San Jose
New York,0.0,2456.816558661529,718.3183063753138,1091.6220277081002,1372.2769504682813,1420.7359108512971,79.395985900491,749.3145106142384,205.46212146069462,184.89231450923984,2141.4030016838196,488.5255846369799,2405.949105052856,2572.0341705611477,2426.723924211636,1020.7836701354115,3.3171106028512396,1001.919295447029,1625.6102970446723,7.690767971177172,171.68607375951262,2237.0160564443527,878.3283008301097,2442.2135041247516,2408.862273159677,942.7000061999802,2503.3205251073578,1609.7194005187512,1584.8525834202421,2552.269346123114
Los Angeles,2456.816558661529,0.0,1745.5103827175158,2343.6745229500625,1248.5569407623516,1379.1101705914366,2396.698692412412,1939.2471085366712,2302.6014450564703,2596.2330992655798,364.4359208763703,1983.1873988830807,955.1527766878785,338.09386771538794,115.49148711942043,1525.90490728097,2455.73699219801,2158.8738810230543,841.781738968246,2463.2029424024495,2321.839358770832,230.02581169987923,1591.0274408225296,820.469938661238,59.21041606968021,2210.8262775795674,351.70758351173856,3381.180654583898,1208.9465471110902,292.82735985155017
Chicago,718.3183063753138,1745.5103827175158,0.0,1188.1830083248772,798.6861860029758,936.9265407652382,666.8157789421156,585.592042196346,596.6500430845922,850.7245736151525,1444.661301594222,237.96474913913255,1731.2172883115663,1853.8299747307792,1722.2996354273807,353.6470153731613,717.6273957844023,1001.0281343947595,908.890755981454,724.159273499477,606.3995718769731,1522.7646442838309,259.10679502578427,1751.4347980862303,1699.519833909292,989.6409937060114,1785.447240608162,2059.4479719257934,1047.5171108799564,1833.9523644247965
Miami,1091.6220277081002,2343.6745229500625,1188.1830083248772,0.0,1107.2734124981066,967.2981306773338,1025.502260130943,606.2603782747696,925.3986160529579,1254.4114776595547,1979.2466716635029,1158.6620788709104,2729.8653870191474,2590.6302452581035,2264.78242999942,1511.2837954220115,1088.3064669489127,205.64380546876583,1718.7502572323122,1097.6243531861965,957.2240298324334,2183.976706127066,1062.7228808124557,2702.6195994585396,2285.0233083194603,198.5801070422304,2544.767138342627,1038.6418816524413,1148.29819399952,2554.825810726451
Dallas,1372.2769504682813,1248.5569407623516,798.6861860029758,1107.2734124981066,0.0,223.16964506540722,1298.0190805871234,715.8171640748798,1181.006778838795,1545.0185719052374,886.9191214256333,997.1083412738875,1680.465790613607,1483.4651253258085,1180.2671518184509,861.4910577471989,1370.1861757084152,914.7486651223732,659.6276976093181,1379.7467345819327,1209.0676034690289,1077.910634678663,544.5111757706057,1631.3236237829428,1191.0474613098424,963.4992401357946,1437.7027928221028,2145.04428125056,252.48361888526503,1448.0191181106766
Houston,1420.7359108512971,1379.1101705914366,936.9265407652382,967.2981306773338,223.16964506540722,0.0,1342.8855573372946,699.8432083986291,1219.431052070384,1601.3877448518615,1014.9861233957616,1105.808480141948,1887.552652563517,1641.7139992375674,1297.8165477582402,1055.0698801170834,1418.2624340813622,792.3542434094131,873.5566077518799,1428.4012865577677,1250.8636977558463,1231.9977397845444,678.1525288252369,1831.1542543494593,1320.1732551195792,852.3747775306091,1602.5620576578706,2002.6292295376902,189.63294107644595,1603.4831358114973
Philadelphia,79.395985900491,2396.698692412412,666.8157789421156,1025.502260130943,1298.0190805871234,1342.8855573372946,0.0,669.9186244288197,126.06791581741376,264.2541130893421,2077.1654830294415,445.4202369382772,2372.4953551705025,2519.5121419365487,2364.1336679187543,982.8284655626348,76.56316737990925,928.8837721672844,1569.6459369094175,87.04373611941976,92.51716422537864,2178.6019749615466,812.2991333630329,2404.3436821603877,2347.966065154818,871.3545040922771,2451.7203322991654,1588.0374220456847,1508.1956429591444,2498.7341058124284
Atlanta,749.3145106142384,1939.2471085366712,585.592042196346,606.2603782747696,715.8171640748798,699.8432083986291,669.9186244288197,0.0,543.8588093450021,934.1229632981019,1586.3073983930444,599.9488511499088,2176.2003553124446,2135.0490896038336,1881.7335180615753,905.5216805111137,746.4622912079553,415.43727552244917,1202.39186973622,756.957307101067,577.9890395715979,1746.7839165294527,467.5554356769723,2165.605149536982,1883.9128102632285,408.20663394829756,2078.82232064489,1552.404924492419,880.4507630093092,2104.916370418901
Washington,205.46212146069462,2302.6014450564703,596.6500430845922,925.3986160529579,1181.006778838795,1219.431052070384,126.06791581741376,543.8588093450021,0.0,390.27524179253624,1976.5453773559757,399.31774381700956,2322.395887537328,2437.8468538131447,2265.9528019917398,932.0879719638974,202.6266844633131,815.8166381650574,1484.1219834003693,213.1116133746302,35.06881644387704,2087.6326475856126,712.2902949571012,2346.9611056728577,2252.628389646512,761.8597743125753,2371.6741673135284,1561.9450406431904,1386.7713689513203,2415.4239494974254
Boston,184.89231450923984,2596.2330992655798,850.7245736151525,1254.4114776595547,1545.0185719052374,1601.3877448518615,264.2541130893421,934.1229632981019,390.27524179253624,0.0,2290.6959039478215,613.1656080085487,2485.2009517293436,2694.0100654060084,2571.7866755455484,1120.5361646255785,187.80832496447286,1177.1430063314056,1758.2672032808587,177.2867750771911,356.21299219133095,2373.067984498007,1036.2344610053308,2531.358623129151,2550.1292139702628,1115.2405079776179,2623.3745595575206,1678.9622866108461,1762.666265538715,2676.587273567416
